Id,ClientId,Action,Date,Note,Category,AmountInCents
1,1668,PRESCRIPTIONS,2022-02-18 00:00:00.000,Client's first name was Nanbyen when this payment was made.,NULL,NULL
2,6976," (THROUGH JEWISH SOCIAL SERVICE AGENCY",2012-01-01 00:00:00.000,NULL,NULL,NULL
3,6977,PEPCO,2023-05-04 00:00:00.000,NULL,NULL,NULL
4,6978,PRESCRIPTIONS,2015-11-15 00:00:00.000,NULL,NULL,NULL
5,6979," - PALLAS AT PIKE AND ROSE",2022-09-09 00:00:00.000,NULL,NULL,NULL
6,6980,WASH GAS,2009-09-09 00:00:00.000,NULL,NULL,NULL
7,4030,PRESCRIPTIONS,2023-03-27 00:00:00.000,NULL,NULL,NULL
8,4030,PRESCRIPTIONS,2023-04-13 00:00:00.000,NULL,NULL,NULL
9,4030,PRESCRIPTIONS,2023-05-18 00:00:00.000,NULL,NULL,NULL
10,6981,WASHINGTON GAS,2010-08-10 00:00:00.000,NULL,NULL,NULL
11,6981,WASHINGTON GAS,2013-10-01 00:00:00.000,NULL,NULL,NULL
12,6981,WASHINGTON GAS,2014-12-14 00:00:00.000,NULL,NULL,NULL
13,6982,PEPCO,2019-11-09 00:00:00.000,NULL,NULL,NULL
14,6983,PRESCRIPTION,2012-04-12 00:00:00.000,NULL,NULL,NULL
15,6984,MEDICAL - DENTAL,2021-09-22 00:00:00.000,NULL,NULL,NULL
16,6985,PEPCO,2010-04-10 00:00:00.000,NULL,NULL,NULL
17,6986,PEPCO,2016-02-16 00:00:00.000,NULL,NULL,NULL
18,6986,PEPCO,2017-10-13 00:00:00.000,NULL,NULL,NULL
19,3826,HIGHLAND HOUSE,2022-07-14 00:00:00.000,NULL,NULL,NULL
20,6987,PEPCO,2012-04-12 00:00:00.000,NULL,NULL,NULL
21,6988,PEPCO,2012-02-01 00:00:00.000,NULL,NULL,NULL
22,6989,BARCLAY APARTMENTS,2013-04-13 00:00:00.000,NULL,NULL,NULL
23,6990,PRESCRIPTIONS,2011-07-11 00:00:00.000,NULL,NULL,NULL
24,6991,PEPCO,2009-02-09 00:00:00.000,NULL,NULL,NULL
25,6991,PEPCO BILL,2009-02-09 00:00:00.000,NULL,NULL,NULL
26,6992,PRESCRIPTIONS,2013-05-01 00:00:00.000,NULL,NULL,NULL
27,6993,WSSC,2009-09-09 00:00:00.000,NULL,NULL,NULL
28,3961," - THE BARRETT",2023-01-14 00:00:00.000,NULL,NULL,NULL
29,6994,PEPCO,2023-04-07 00:00:00.000,NULL,NULL,NULL
30,6995,PEPCO,2018-04-25 00:00:00.000,NULL,NULL,NULL
31,6996,,2014-04-01 00:00:00.000,NULL,NULL,NULL
32,6997,,2012-08-12 00:00:00.000,NULL,NULL,NULL
33,6998,PRESCRIPTION,2010-10-10 00:00:00.000,NULL,NULL,NULL
34,1645,,2022-09-20 00:00:00.000,NULL,NULL,NULL
35,3790,PEPCO,2022-05-27 00:00:00.000,NULL,NULL,NULL
36,3790,WSSC,2023-01-11 00:00:00.000,NULL,NULL,NULL
37,3790,PEPCO,2023-05-03 00:00:00.000,NULL,NULL,NULL
38,6999,PRESCRIPTION,2011-04-11 00:00:00.000,NULL,NULL,NULL
39,7000,UTILITIES - CROSSWAYS COMMUNITY,2010-05-10 00:00:00.000,NULL,NULL,NULL
40,7001,PEPCO,2016-08-03 00:00:00.000,NULL,NULL,NULL
41,7002,WASH GAS,2013-11-13 00:00:00.000,NULL,NULL,NULL
42,7003,PEPCO,2016-04-08 00:00:00.000,NULL,NULL,NULL
43,7004,,2016-07-11 00:00:00.000,NULL,NULL,NULL
44,7005,PEPCO,2016-06-09 00:00:00.000,NULL,NULL,NULL
45,7006,,2013-11-13 00:00:00.000,NULL,NULL,NULL
46,7007,"PRESCRIPTION  ",2009-09-09 00:00:00.000,NULL,NULL,NULL
47,7008,,2017-11-11 00:00:00.000,NULL,NULL,NULL
48,7009,PEPCO,2015-07-15 00:00:00.000,NULL,NULL,NULL
49,7010,PEPCO,2011-08-11 00:00:00.000,NULL,NULL,NULL
50,7010,WASH GAS,2011-08-11 00:00:00.000,NULL,NULL,NULL
51,1306,WSSC,2009-07-09 00:00:00.000,Client was at 6547 Fallwind Lane when this payment was made.,NULL,NULL
52,1306,PEPCO,2009-07-09 00:00:00.000,Client was at 6547 Fallwind Lane when this payment was made.,NULL,NULL
53,1306,PEPCO  MAR 2010,2010-03-10 00:00:00.000,Client was at 6541 Fallwind Lane when this payment was made.,NULL,NULL
54,1306,WASH GAS,2019-06-05 00:00:00.000,Client was at 647 Fallwind Lane when this payment was made.,NULL,NULL
55,1306,PRESCRIPTION,2020-02-24 00:00:00.000,Prescription for Mouhcine Bennis.,NULL,NULL
56,1306,PEPCO,2021-12-30 00:00:00.000,For Mouhcine (Aicha Fouzir),NULL,NULL
